Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
granite + stone,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
wire + granite,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
sea + flood,1,0,1,33,22,11,3,0,9,9,0:100,0.0,0.33,False
flood + granite,1,0,1,3,2,1,33,0,100,100,0:100,0.0,0.33,False
electricity + village,1,0,1,4,1,3,25,0,33,33,0:100,0.0,1.0,False
granite + salt,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
metal + atomic bomb,1,0,1,7,4,3,14,0,33,33,0:100,0.0,0.43,False
atomic bomb + wall,1,0,1,4,1,3,25,0,33,33,0:100,0.0,1.0,False
atomic bomb + pressure,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
dust + wall,1,0,1,22,13,9,5,0,11,11,0:100,0.0,0.41,False
wall + gunpowder,1,0,1,13,9,4,8,0,25,25,0:100,0.0,0.31,False
wire + wall,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
city + electricity,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
geyser + granite,1,0,1,3,2,1,33,0,100,100,0:100,0.0,0.33,False
gunpowder + granite,1,0,1,5,4,1,20,0,100,100,0:100,0.0,0.2,False
granite + volcano,1,0,1,5,3,2,20,0,50,50,0:100,0.0,0.4,False
atomic bomb + village,1,0,1,3,0,3,33,0,33,33,0:100,nan,1.0,False
rain + village,1,0,1,22,15,7,5,0,14,14,0:100,0.0,0.32,False
beach + steam,1,0,1,12,7,5,8,0,20,20,0:100,0.0,0.42,False
volcano + beach,1,0,1,8,4,4,12,0,25,25,0:100,0.0,1.0,False
sandstorm + volcano,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
sandstorm + fire,1,0,1,6,2,4,17,0,25,25,0:100,0.0,1.0,False
sandstorm + lava,1,0,1,6,2,4,17,0,25,25,0:100,0.0,1.0,False
sandstorm + beach,1,0,1,2,0,2,50,0,50,50,0:100,nan,1.0,False
wind + sandstorm,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
hurricane + beach,1,0,1,5,2,3,20,0,33,33,0:100,0.0,1.0,False
hurricane + sandstorm,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
ash + sand,1,0,1,7,3,4,14,0,25,25,0:100,0.0,1.0,False
hurricane + sand,1,0,1,13,3,10,8,0,10,10,0:100,0.0,1.0,True
sandstorm + stone,1,0,1,6,2,4,17,0,25,25,0:100,0.0,1.0,False
wind + beach,1,0,1,11,6,5,9,0,20,20,0:100,0.0,0.45,True
plant + hurricane,1,0,1,24,10,14,4,0,7,7,0:100,0.0,1.0,False
algae + beach,1,0,1,4,2,2,25,0,50,50,0:100,0.0,1.0,False
plant + beach,1,0,1,5,3,2,20,0,50,50,0:100,0.0,0.4,False
obsidian + sand,1,0,1,16,9,7,6,0,14,14,0:100,0.0,0.44,False
