Combinations,Amount of Players
river + flood,1
river + life,1
river + mud,2
river + rain,3
river + river,2
river + steam,3
river + water,6
river + wind,1
salt + atmosphere,1
salt + energy,1
salt + ocean,1
salt + rain,1
salt + salt,1
sand + lava,2
sand + obsidian,1
sand + sand,1
sea + dust,1
sea + fire,6
sea + lava,3
sea + mud,2
sea + pressure,4
sea + salt,3
sea + sea,7
sea + steam,4
sea + wind,2
sky + atmosphere,2
sky + beach,1
sky + cloud,3
sky + earthquake,1
sky + energy,4
sky + explosion,1
sky + horizon,2
sky + lava,2
sky + plant,1
sky + pressure,4
sky + rainbow,1
sky + salt,1
sky + sky,4
sky + storm,2
sky + volcano,2
sky + wind,1
steam + algae,3
steam + ash,1
steam + boiler,1
steam + dust,8
steam + energy,20
steam + fireworks,1
steam + horizon,1
steam + hurricane,2
steam + lava,12
steam + mud,16
steam + obsidian,6
steam + pressure,6
steam + sky,3
steam + steam,9
steam + tobacco,3
stone + ash,2
stone + cloud,3
stone + geyser,2
stone + obsidian,4
stone + sea,1
stone + steam,4
stone + stone,1
stone + storm,1
stone + volcano,5
stone + wind,2
storm + dust,1
storm + explosion,1
storm + fire,2
storm + lava,2
storm + storm,2
storm + volcano,2
storm + water,3
sun + day,1
sun + sky,2
sun + steam,2
swamp + air,1
swamp + dust,1
swamp + plant,2
swamp + rain,1
swamp + water,1
tobacco + algae,1
tobacco + energy,3
tobacco + fire,5
tobacco + garden,1
tobacco + obsidian,1
tobacco + plant,2
tobacco + rain,3
tobacco + stone,1
tobacco + volcano,2
tsunami + earth,1
tsunami + fire,2
tsunami + tsunami,1
tsunami + wave,1
tsunami + wind,1
village + village,3
village + wind,1
volcano + air,5
volcano + ash,3
volcano + atmosphere,2
volcano + brick,4
volcano + earthquake,7
volcano + energy,10
volcano + fire,10
volcano + flood,1
volcano + grass,1
volcano + hurricane,1
volcano + metal,1
volcano + plant,1
volcano + pressure,2
volcano + river,1
volcano + sand,1
volcano + steam,15
volcano + volcano,2
wall + fire,1
wall + house,1
wall + ocean,1
wall + wall,5
water + air,52
water + beach,1
water + brick,16
water + bullet,1
water + day,1
water + dust,23
water + flood,1
water + garden,1
water + granite,1
water + grass,2
water + gun,1
water + gunpowder,13
water + hurricane,6
water + lava,37
water + metal,1
water + mud,22
water + obsidian,17
water + rain,17
water + salt,3
water + sand,2
water + sea,4
water + sky,7
water + steam,23
water + stone,5
water + sun,1
water + tobacco,5
water + tsunami,1
water + volcano,21
water + water,22
water gun + gunpowder,1
water gun + stone,1
wave + gunpowder,1
wave + water,1
wave + wave,1
wave + wind,1
wind + ash,1
wind + brick,4
wind + cloud,1
wind + dust,4
wind + energy,11
wind + house,1
wind + hurricane,7
wind + mountain,5
wind + mud,6
wind + obsidian,1
wind + plant,4
wind + pressure,2
wind + steam,8
wind + storm,1
wind + volcano,4
wind + water,18
wind + wind,5
wind + windmill,1
windmill + house,1
windmill + steam,1
windmill + windmill,1
